71	Agriculture and Rural Development	\N	2020-05-29 20:13:35.252752	2020-05-29 20:13:35.252752	\N	ProvincialAgency	7	\N
72	Cooperative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.254915	2020-05-29 20:13:35.254915	\N	ProvincialAgency	7	\N
73	Economic, Small Business Development, Tourism and Environmental Affairs	\N	2020-05-29 20:13:35.257192	2020-05-29 20:13:35.257192	\N	ProvincialAgency	7	\N
74	Education	\N	2020-05-29 20:13:35.25913	2020-05-29 20:13:35.25913	\N	ProvincialAgency	7	\N
75	Health	\N	2020-05-29 20:13:35.260842	2020-05-29 20:13:35.260842	\N	ProvincialAgency	7	\N
76	Human Settlements	\N	2020-05-29 20:13:35.262598	2020-05-29 20:13:35.262598	\N	ProvincialAgency	7	\N
77	Police, Roads and Transport	\N	2020-05-29 20:13:35.264409	2020-05-29 20:13:35.264409	\N	ProvincialAgency	7	\N
78	Provincial Treasury	\N	2020-05-29 20:13:35.266936	2020-05-29 20:13:35.266936	\N	ProvincialAgency	7	\N
79	Public Works and Infrastructure	\N	2020-05-29 20:13:35.269189	2020-05-29 20:13:35.269189	\N	ProvincialAgency	7	\N
80	Social Development	\N	2020-05-29 20:13:35.273491	2020-05-29 20:13:35.273491	\N	ProvincialAgency	7	\N
81	Sport, Arts, Culture and Recreation	\N	2020-05-29 20:13:35.277379	2020-05-29 20:13:35.277379	\N	ProvincialAgency	7	\N
82	Agriculture and Rural Development	\N	2020-05-29 20:13:35.280786	2020-05-29 20:13:35.280786	\N	ProvincialAgency	1	\N
83	Co-operative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.284854	2020-05-29 20:13:35.284854	\N	ProvincialAgency	1	\N
84	Community Safety	\N	2020-05-29 20:13:35.287904	2020-05-29 20:13:35.287904	\N	ProvincialAgency	1	\N
85	e-Government	\N	2020-05-29 20:13:35.297289	2020-05-29 20:13:35.297289	\N	ProvincialAgency	1	\N
86	Economic Development	\N	2020-05-29 20:13:35.299779	2020-05-29 20:13:35.299779	\N	ProvincialAgency	1	\N
87	Education	\N	2020-05-29 20:13:35.302019	2020-05-29 20:13:35.302019	\N	ProvincialAgency	1	\N
88	Health	\N	2020-05-29 20:13:35.303897	2020-05-29 20:13:35.303897	\N	ProvincialAgency	1	\N
89	Human Settlements	\N	2020-05-29 20:13:35.305929	2020-05-29 20:13:35.305929	\N	ProvincialAgency	1	\N
90	Infrastructure Development	\N	2020-05-29 20:13:35.30839	2020-05-29 20:13:35.30839	\N	ProvincialAgency	1	\N
91	Roads and Transport	\N	2020-05-29 20:13:35.310492	2020-05-29 20:13:35.310492	\N	ProvincialAgency	1	\N
92	Social Development	\N	2020-05-29 20:13:35.312473	2020-05-29 20:13:35.312473	\N	ProvincialAgency	1	\N
93	Sport, Arts, Culture and Recreation	\N	2020-05-29 20:13:35.314263	2020-05-29 20:13:35.314263	\N	ProvincialAgency	1	\N
94	Treasury	\N	2020-05-29 20:13:35.317357	2020-05-29 20:13:35.317357	\N	ProvincialAgency	1	\N
95	Agriculture and Rural Development	\N	2020-05-29 20:13:35.320251	2020-05-29 20:13:35.320251	\N	ProvincialAgency	5	\N
96	Arts and Culture	\N	2020-05-29 20:13:35.323765	2020-05-29 20:13:35.323765	\N	ProvincialAgency	5	\N
97	Co-operative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.327506	2020-05-29 20:13:35.327506	\N	ProvincialAgency	5	\N
98	Community Safety and Liaison	\N	2020-05-29 20:13:35.330496	2020-05-29 20:13:35.330496	\N	ProvincialAgency	5	\N
99	Economic Development, Tourism and Environmental Affairs	\N	2020-05-29 20:13:35.334161	2020-05-29 20:13:35.334161	\N	ProvincialAgency	5	\N
100	Education	\N	2020-05-29 20:13:35.337021	2020-05-29 20:13:35.337021	\N	ProvincialAgency	5	\N
101	Health	\N	2020-05-29 20:13:35.339848	2020-05-29 20:13:35.339848	\N	ProvincialAgency	5	\N
102	Human Settlements	\N	2020-05-29 20:13:35.348776	2020-05-29 20:13:35.348776	\N	ProvincialAgency	5	\N
103	Provincial Treasury	\N	2020-05-29 20:13:35.351303	2020-05-29 20:13:35.351303	\N	ProvincialAgency	5	\N
104	Public Works	\N	2020-05-29 20:13:35.353109	2020-05-29 20:13:35.353109	\N	ProvincialAgency	5	\N
105	Social Development	\N	2020-05-29 20:13:35.355176	2020-05-29 20:13:35.355176	\N	ProvincialAgency	5	\N
106	Sport and Recreation	\N	2020-05-29 20:13:35.357634	2020-05-29 20:13:35.357634	\N	ProvincialAgency	5	\N
107	Transport	\N	2020-05-29 20:13:35.359467	2020-05-29 20:13:35.359467	\N	ProvincialAgency	5	\N
108	Agriculture and Rural Development	\N	2020-05-29 20:13:35.361262	2020-05-29 20:13:35.361262	\N	ProvincialAgency	6	\N
109	Cooperative Governance, Human Settlements and Traditional Affairs	\N	2020-05-29 20:13:35.362966	2020-05-29 20:13:35.362966	\N	ProvincialAgency	6	\N
